salmon ==> mineral water,0.5
olive oil ==> mineral water,0.43
soup ==> mineral water,0.4
soup ==> milk,0.4
honey ==> mineral water,0.4
herb & pepper ==> spaghetti,0.4
herb & pepper ==> mineral water,0.4
herb & pepper ==> ground beef,0.4
ground beef ==> spaghetti,0.4
ground beef ==> mineral water,0.4
grated cheese ==> spaghetti,0.4
grated cheese ==> mineral water,0.4
frozen vegetables ==> mineral water,0.4
cooking oil ==> spaghetti,0.4
cooking oil ==> mineral water,0.4
milk ==> mineral water,0.38
cake ==> mineral water,0.38
spaghetti ==> mineral water,0.35
whole wheat rice ==> mineral water,0.33
turkey ==> spaghetti,0.33
turkey ==> mineral water,0.33
turkey ==> eggs,0.33
red wine ==> spaghetti,0.33
red wine ==> mineral water,0.33
frozen smoothie ==> spaghetti,0.33
frozen smoothie ==> mineral water,0.33
chicken ==> spaghetti,0.33
chicken ==> mineral water,0.33
cereals ==> mineral water,0.33
avocado ==> mineral water,0.33
burgers ==> eggs,0.33
chocolate ==> mineral water,0.31
milk ==> spaghetti,0.31
pancakes ==> spaghetti,0.3
pancakes ==> mineral water,0.3
frozen vegetables ==> spaghetti,0.3
tomatoes ==> spaghetti,0.29
tomatoes ==> mineral water,0.29
tomatoes ==> frozen vegetables,0.29
shrimp ==> spaghetti,0.29
shrimp ==> mineral water,0.29
shrimp ==> milk,0.29
shrimp ==> frozen vegetables,0.29
shrimp ==> chocolate,0.29
olive oil ==> spaghetti,0.29
olive oil ==> milk,0.29
olive oil ==> chocolate,0.29
eggs ==> mineral water,0.28
salmon ==> spaghetti,0.25
salmon ==> chocolate,0.25
mineral water ==> spaghetti,0.25
low fat yogurt ==> spaghetti,0.25
low fat yogurt ==> mineral water,0.25
low fat yogurt ==> eggs,0.25
fresh bread ==> mineral water,0.25
escalope ==> mineral water,0.25
escalope ==> french fries,0.25
escalope ==> chocolate,0.25
chocolate ==> spaghetti,0.25
cake ==> spaghetti,0.25
cake ==> french fries,0.25
cake ==> eggs,0.25
spaghetti ==> milk,0.24
spaghetti ==> ground beef,0.24
spaghetti ==> eggs,0.24
spaghetti ==> chocolate,0.24
french fries ==> eggs,0.24
milk ==> eggs,0.23
milk ==> chocolate,0.23
green tea ==> spaghetti,0.23
green tea ==> mineral water,0.23
green tea ==> french fries,0.23
green tea ==> eggs,0.23
eggs ==> spaghetti,0.22
eggs ==> french fries,0.22
burgers ==> spaghetti,0.22
burgers ==> mineral water,0.22
burgers ==> milk,0.22
burgers ==> green tea,0.22
burgers ==> french fries,0.22
burgers ==> chocolate,0.22
mineral water ==> milk,0.21
mineral water ==> eggs,0.21
mineral water ==> chocolate,0.21
soup ==> spaghetti,0.2
soup ==> chocolate,0.2
pancakes ==> milk,0.2
pancakes ==> green tea,0.2
pancakes ==> french fries,0.2
pancakes ==> eggs,0.2
pancakes ==> chocolate,0.2
honey ==> spaghetti,0.2
herb & pepper ==> eggs,0.2
ground beef ==> mineral water/spaghetti,0.2
ground beef ==> milk,0.2
ground beef ==> herb & pepper,0.2
ground beef ==> frozen vegetables,0.2
ground beef ==> eggs,0.2
ground beef ==> chocolate,0.2
grated cheese ==> ground beef,0.2
grated cheese ==> french fries,0.2
grated cheese ==> chocolate,0.2
frozen vegetables ==> tomatoes,0.2
frozen vegetables ==> shrimp,0.2
frozen vegetables ==> milk,0.2
frozen vegetables ==> ground beef,0.2
frozen vegetables ==> french fries,0.2
frozen vegetables ==> eggs,0.2
