soup ==> mineral water,0.46
olive oil ==> mineral water,0.42
ground beef ==> mineral water,0.42
salmon ==> mineral water,0.4
cereals ==> mineral water,0.4
ground beef ==> spaghetti,0.4
cooking oil ==> mineral water,0.39
red wine ==> mineral water,0.39
chicken ==> mineral water,0.38
frozen vegetables ==> mineral water,0.37
milk ==> mineral water,0.37
red wine ==> spaghetti,0.36
tomatoes ==> mineral water,0.36
pancakes ==> mineral water,0.35
olive oil ==> spaghetti,0.35
avocado ==> mineral water,0.35
herb & pepper ==> mineral water,0.35
whole wheat rice ==> mineral water,0.34
spaghetti ==> mineral water,0.34
cake ==> mineral water,0.34
grated cheese ==> mineral water,0.33
burgers ==> eggs,0.33
shrimp ==> mineral water,0.33
herb & pepper ==> spaghetti,0.33
herb & pepper ==> ground beef,0.32
chocolate ==> mineral water,0.32
frozen smoothie ==> mineral water,0.32
honey ==> mineral water,0.32
salmon ==> spaghetti,0.32
grated cheese ==> spaghetti,0.32
low fat yogurt ==> mineral water,0.31
turkey ==> eggs,0.31
cooking oil ==> spaghetti,0.31
fresh bread ==> mineral water,0.31
turkey ==> mineral water,0.31
tomatoes ==> spaghetti,0.31
soup ==> milk,0.3
shrimp ==> spaghetti,0.3
frozen vegetables ==> spaghetti,0.29
chicken ==> spaghetti,0.29
eggs ==> mineral water,0.28
soup ==> spaghetti,0.28
burgers ==> mineral water,0.28
milk ==> spaghetti,0.27
cooking oil ==> chocolate,0.27
pancakes ==> spaghetti,0.27
turkey ==> spaghetti,0.26
olive oil ==> milk,0.26
herb & pepper ==> eggs,0.25
burgers ==> french fries,0.25
shrimp ==> chocolate,0.25
salmon ==> chocolate,0.25
mineral water ==> spaghetti,0.25
honey ==> spaghetti,0.25
olive oil ==> chocolate,0.25
milk ==> chocolate,0.25
champagne ==> chocolate,0.25
frozen vegetables ==> milk,0.25
chicken ==> milk,0.25
frozen smoothie ==> spaghetti,0.25
shrimp ==> milk,0.25
burgers ==> spaghetti,0.25
chicken ==> chocolate,0.24
whole wheat rice ==> spaghetti,0.24
frozen vegetables ==> chocolate,0.24
chicken ==> eggs,0.24
chocolate ==> spaghetti,0.24
milk ==> eggs,0.24
tomatoes ==> frozen vegetables,0.24
